id,primary_sort,secondary_sort,level1_category,level2_category,level1_category_display_name,level2_category_display_name,field_name,display_name,description,explanation,has_sources,slug
,29,30,importance_for_humans,benefits_and_conflicts,Bedeutung für den Menschen,Nutzen und Konflikte,benefit,Nutzen,Materieller und ideeller Nutzen,,True,bedeutung_fuer_den_menschen_nutzen_und_konflikte_nutzen
,30,29,importance_for_humans,benefits_and_conflicts,Bedeutung für den Menschen,Nutzen und Konflikte,conflicts,Konflikte,Wie gefährdet der Mensch das Tier IM WOHNUMFELD ,Allgemeine Gefährdungen durch den Menschen unter Gefährdung (Kurzcharakteristik – Gefährdung und rechtlicher Status),True,bedeutung_fuer_den_menschen_nutzen_und_konflikte_konflikte
,31,17,critical_habitat_factors_by_life_stage,mating_display,Kritische Standortfaktoren nach Lebensphasen,Balz und Paarung,mating_display,Balz,0-2 Kurzsätze: was benötigt das Tier zur Balz?,"Generell sollte der Abschnitt  kritische Standortfaktoren nicht Merkmale des Lebenszyklus als reine Information enthalten, sondern der Aufbau soll so sein: biologische Eigenheit des Tieres -> Anweisung an den Planer. D.h. der Planerin wird erklärt, was sie machen soll und warum",True,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_balz
,32,18,critical_habitat_factors_by_life_stage,mating_display,Kritische Standortfaktoren nach Lebensphasen,Balz und Paarung,mating,Paarung,0-2 Kurzsätze: was benötigt das Tier zur Paarung?,,True,kritische_standortfaktoren_nach_lebensphasen_balz_und_paarung_paarung
,33,21,critical_habitat_factors_by_life_stage,breeding_and_care,Kritische Standortfaktoren nach Lebensphasen,Brut und Aufzucht,breeding,Brut,"0-4 Kurzsätze: was benötigt das Tier während der Brut? Habitatansprüche, Nahrung und Ansprüche der Eltern",,True,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_brut
,34,22,critical_habitat_factors_by_life_stage,breeding_and_care,Kritische Standortfaktoren nach Lebensphasen,Brut und Aufzucht,care,Aufzucht,0-4 Kurzsätze: was benötigt das Tier während der Aufzucht der Jungtiere. Inkl. Nahrung und Ansprüche der Eltern,,True,kritische_standortfaktoren_nach_lebensphasen_brut_und_aufzucht_aufzucht
,35,25,critical_habitat_factors_by_life_stage,juveniles,Kritische Standortfaktoren nach Lebensphasen,Jungtiere,habitat_requirements,Habitatanforderungen,0-2 Kurzsätze: was für Habitateigenschaften sind für die Jungtiere notwendig (wenn anders als für Brut),,True,kritische_standortfaktoren_nach_lebensphasen_jungtiere_habitatanforderungen
,36,26,critical_habitat_factors_by_life_stage,juveniles,Kritische Standortfaktoren nach Lebensphasen,Jungtiere,diet,Nahrung,0-2 Kurzsätze: was für Nahrung ist notwendig für Jungtiere?,,True,kritische_standortfaktoren_nach_lebensphasen_jungtiere_nahrung
,37,32,critical_habitat_factors_by_life_stage,juveniles,Kritische Standortfaktoren nach Lebensphasen,Jungtiere,predators_and_threats,Fressfeinde/Gefährdungen,0-2 Kurzsätze: welchen besonderen Schutz benötigen Jungtiere vor Fressfeinden oder vor Störung durch den Menschen?,,True,kritische_standortfaktoren_nach_lebensphasen_jungtiere_fressfeinde_gefaehrdungen
,38,38,critical_habitat_factors_by_life_stage,adults,Kritische Standortfaktoren nach Lebensphasen,Adulte,habitat_requirements,Habitatanforderungen,0-2 Kurzsätze: was für Habitateigenschaften sind für die Adulte notwendig (wenn anders als vorher),,True,kritische_standortfaktoren_nach_lebensphasen_adulte_habitatanforderungen
,39,39,critical_habitat_factors_by_life_stage,adults,Kritische Standortfaktoren nach Lebensphasen,Adulte,diet,Nahrung,0-2 Kurzsätze: was für Nahrung ist notwendig für Adulte?,,True,kritische_standortfaktoren_nach_lebensphasen_adulte_nahrung
,40,33,critical_habitat_factors_by_life_stage,adults,Kritische Standortfaktoren nach Lebensphasen,Adulte,predators_and_threats,Fressfeinde/Gefährdungen,0-2 Kurzsätze: welchen besonderen Schutz benötigen Adulte vor Fressfeinden oder vor Störung durch den Menschen?,,True,kritische_standortfaktoren_nach_lebensphasen_adulte_fressfeinde_gefaehrdungen
,41,41,critical_habitat_factors_by_life_stage,hibernation,Kritische Standortfaktoren nach Lebensphasen,Überwinterung,hibernation,Überwinterung,Was ist das Überwinterungsstadium und was sind die Ansprüche insbesondere in Bezug auf Störung?,,True,kritische_standortfaktoren_nach_lebensphasen_uberwinterung_uberwinterung
,48,9,additional_information,appearance_and_body_structure,Weitere Informationen,Aussehen und Körperbau,appearance_and_body_structure,Aussehen und Körperbau,Fließtext mit genauerer Beschreibung von Aussehen und Körperbau. Keine Wiederholung der Informationen von oben,,True,weitere_informationen_aussehen_und_koerperbau_aussehen_und_koerperbau
,49,15,additional_information,distribution_habitat_and_space_requirements,Weitere Informationen,"Verbreitung, Habitat und Raumansprüche",habitat_and_special_conditions,"Habitat, Habitatbesonderheiten","Fließtext mit genauerer Beschreibung der Verbreitung, gerade innerhalb Deutschlands, evtl. Ausbreitungen und Rückgänge, Besonderheiten des Habitats. Keine Wiederholung der Informationen von oben",,True,weitere_informationen_verbreitung_habitat_und_raumansprueche_habitat_habitatbesonderheiten
,50,56,additional_information,diet,Weitere Informationen,Nahrung,diet,Nahrung,"Allgemeines zur Nahrung. Systematisch ordnen (nach Tieren und Pflanzen trennen, Gruppen taxonomisch auf Deutsch und Latein benennen, gerne mit Beispielen)",,True,weitere_informationen_nahrung_nahrung
,51,19,additional_information,life_cycle,Weitere Informationen,Lebenszyklus,mating_display_and_mating,Balz und Paarung,Fließtext mit genauerer Beschreibung von Balz und Paarung. Keine Wiederholung der Informationen von oben,,True,weitere_informationen_lebenszyklus_balz_und_paarung
,52,23,additional_information,life_cycle,Weitere Informationen,Lebenszyklus,breeding_and_care,Brut und Aufzucht,Fließtext mit genauerer Beschreibung von Brut und Aufzucht. Keine Wiederholung der Informationen von oben,,True,weitere_informationen_lebenszyklus_brut_und_aufzucht
,53,34,additional_information,life_cycle,Weitere Informationen,Lebenszyklus,juveniles,Jungtiere,Fließtext mit genauerer Beschreibung der Juvenilphase. Keine Wiederholung der Informationen von oben,,True,weitere_informationen_lebenszyklus_jungtiere
,54,36,additional_information,life_cycle,Weitere Informationen,Lebenszyklus,adults,Adulte,Fließtext mit genauerer Beschreibung der Adultphase von der Reifung bis zur Paarung. Keine Wiederholung der Informationen von oben. Maximales Lebensalter auch angeben wen noch nicht gemacht.,,True,weitere_informationen_lebenszyklus_adulte
,55,42,additional_information,life_cycle,Weitere Informationen,Lebenszyklus,hibernation,Überwinterung,Fließtext mit genauerer Beschreibung der Überwinterung. Keine Wiederholung der Informationen von oben,,True,weitere_informationen_lebenszyklus_uberwinterung
,56,31,additional_information,endangerment,Weitere Informationen,Gefährdung,endangerment,Gefährdung,"Gefährdungsursachen. Allgemein, nicht auf Projektort bezogen",,True,weitere_informationen_gefaehrdung_gefaehrdung
,57,57,additional_information,conservation_measures,Weitere Informationen,Schutzmaßnahmen,conservation_measures,Schutzmaßnahmen,"Artenschutzmaßnahnen. Allgemein, nicht auf Projektort bezogen",,True,weitere_informationen_schutzmassnahmen_schutzmassnahmen
,58,58,additional_information,interaction_with_humans,Weitere Informationen,Wechselwirkung mit dem Menschen,perception_conflicts_historical_relationships,"Wahrnehmung, Konflikte, frühere Beziehung",Interessante Informationen zur Mensch-Tier-Beziehung wenn noch nicht genannt.,,True,weitere_informationen_wechselwirkung_mit_dem_menschen_wahrnehmung_konflikte_fruehere_beziehung
,59,59,literature,,Literatur,,literature_references,Literaturhinweise,"1-5 Hinweise auf gute Literatur, am besten Handbücher oder Monografien, wenn nötig Bestimmungsbücher, möglichst ohne Webseiten","Format: Nachname Autor, Vorname (ausgeschrieben), Jahr in Klammern, Titel, Verlag, Band, Seitenzahlen, ggfs. DOI oder ISBN",True,literatur_literaturhinweise
